Valley Index,Velocity (mm/sec)
1,3.4901060603604965
2,0.5373495934210236
3,0.7158969404195977
4,1.14661592644757
5,1.500438220170244
6,1.1619680052628036
7,1.022195999302175
8,1.1375501001885084
9,1.1274819870088608
10,1.1385542458739735
11,0.5024608271192607
12,3.381841985133467
13,0.8849265557119146
14,1.5383725673359634
15,1.941924292609483
16,1.6036654283640657
17,0.4442654039594288
18,1.3200345322715346
19,1.377350740029566
20,1.0406416822676279
21,1.806329319855635
22,1.2788408736657602
23,2.1012757727445206
24,2.1880816931844125
25,1.2558216619617615
26,1.449812044411063
27,1.5133417978521198
28,0.6489235504083107
29,1.4473042880153604
30,1.35180591822199
31,0.8198741970743861
32,1.4013422472310886
33,0.6784081143237239
34,1.2118086921427147
35,1.604853017346472
36,1.7992532105693049
37,0.4047193256887507
38,1.20689874393284
39,0.5904295860840557
40,1.068237449499142
41,0.47423221242184976
42,1.583522994391438
43,1.0912618511152112
44,1.6603483121620612
45,2.0815706579897904
46,0.7850141746923033
47,1.0722583983345895
48,1.2535547842178132
49,1.2397641001219784
50,1.2686524063977616
51,0.8880363658199016
52,0.9669534419563642
53,1.3134758666597794
54,1.6340268503794309
55,0.8576622937209619
56,0.8600515625069728
57,1.3728744429008044
58,1.4120825915114341
59,1.486035291273955
60,0.6733168391226957
61,1.0915175885709558
62,1.1273149559977362
63,0.5191763101297523
64,1.9222999430507408
65,1.9361486039425169
66,1.3177338170071367
67,0.597763182595558
68,1.43266213278283
69,1.247957471455809
70,1.4159990402872689
71,0.7331235948923398
72,0.9384988342478542
73,2.1398564642122833
74,1.679396964638326
75,1.5455394290182247
76,2.5411791489880367
